acute_complication_icd9cm,age_group,average_annual_discharges_thousands,percent_of_total_diabetes_discharges,standard_error_percent,reference_period
Diabetic ketoacidosis (250.1),All,157.7,3.0,0.05,2001-2010
Diabetic ketoacidosis (250.1),<18,22.2,43.2,1.38,2001-2010
Diabetic ketoacidosis (250.1),18-44,81.9,14.5,0.32,2001-2010
Diabetic ketoacidosis (250.1),45-64,37.8,2.1,0.07,2001-2010
Diabetic ketoacidosis (250.1),65+,15.9,0.6,0.03,2001-2010
Diabetic with other coma (250.3),All,7.9,0.2,0.01,2001-2010
Diabetic with other coma (250.3),<18,0.3,0.5,0.31,2001-2010
Diabetic with other coma (250.3),18-44,2.1,0.4,0.06,2001-2010
Diabetic with other coma (250.3),45-64,2.3,0.1,0.02,2001-2010
Diabetic with other coma (250.3),65+,3.2,0.1,0.01,2001-2010
Diabetic hyperosmolar coma (250.2),All,23.9,0.5,0.02,2001-2010
Diabetic hyperosmolar coma (250.2),<18,0.2,0.3,0.13,2001-2010
Diabetic hyperosmolar coma (250.2),18-44,4.6,0.8,0.08,2001-2010
Diabetic hyperosmolar coma (250.2),45-64,10.3,0.6,0.04,2001-2010
Diabetic hyperosmolar coma (250.2),65+,8.8,0.3,0.02,2001-2010
Acidosis (276.2),All,65.2,1.2,0.03,2001-2010
Acidosis (276.2),<18,0.8,1.6,0.34,2001-2010
Acidosis (276.2),18-44,8.3,1.5,0.10,2001-2010
Acidosis (276.2),45-64,24.2,1.3,0.06,2001-2010
Acidosis (276.2),65+,32.0,1.1,0.05,2001-2010
Hypoglycemia (250.8; 251.2),All,287.6,5.4,0.07,2001-2010
Hypoglycemia (250.8; 251.2),<18,1.8,3.6,0.37,2001-2010
Hypoglycemia (250.8; 251.2),18-44,28.9,5.1,0.19,2001-2010
Hypoglycemia (250.8; 251.2),45-64,100.8,5.5,0.11,2001-2010
Hypoglycemia (250.8; 251.2),65+,156.1,5.5,0.09,2001-2010
