measure,group,estimate_millions,percent,reference_period,notes
diabetes_total,all_ages,38.4,11.6,2021,"People of all ages with diabetes"
diabetes_total,adults_18_plus,38.1,,2021,"Adults age 18 years or older"
diagnosed_diabetes,all_ages,29.7,8.9,2021,"People of all ages diagnosed with diabetes"
diagnosed_diabetes,adults_18_plus,29.4,,2021,"Adults age 18 years or older"
diagnosed_diabetes,children_under_20,0.352,,2021,"Includes 0.304 million with type 1 diabetes"
diagnosed_diabetes,american_indian_alaska_native_adults,,13.6,2019-2021,"Age-adjusted prevalence"
diagnosed_diabetes,non_hispanic_black_adults,,12.1,2019-2021,"Age-adjusted prevalence"
diagnosed_diabetes,hispanic_adults,,11.7,2019-2021,"Age-adjusted prevalence"
diagnosed_diabetes,non_hispanic_asian_adults,,9.1,2019-2021,"Age-adjusted prevalence"
diagnosed_diabetes,non_hispanic_white_adults,,6.9,2019-2021,"Age-adjusted prevalence"
undiagnosed_diabetes,adults_18_plus,8.7,22.8,2021,"Percentage is of adults with diabetes who were undiagnosed"
prediabetes,adults_18_plus,97.6,,2021,"More than 1 in 3 adults"
prediabetes,adults_18_to_44,32.8,,2021,"Adults age 18 to 44 years"
prediabetes,adults_45_to_64,37.5,,2021,"Adults age 45 to 64 years"
prediabetes,adults_65_plus,27.2,,2021,"Adults age 65 years or older"
prediabetes,men,,41,2017-2020,"Age-adjusted prevalence"
prediabetes,women,,32,2017-2020,"Age-adjusted prevalence"
prediabetes,adolescents_12_to_18,,18,2005-2016,"About 1 in 5"
gestational_diabetes,pregnancies,,"2-10",annual,"U.S. pregnancies affected each year"
gestational_diabetes,subsequent_type_2_diabetes,,50,not_stated,"About 50% of women who develop gestational diabetes go on to develop type 2 diabetes"
