ContractID,RenewalDate,NewRateVersionID,WellnessDiscountPct,FinalPremium
12505,2023-06-09,3,0.00,833.77
12505,2024-06-09,4,0.00,833.77
12505,2025-06-09,5,0.00,833.77
12505,2026-06-09,6,0.00,833.77
11864,2026-04-16,6,0.00,1278.53
39738,2022-11-03,2,0.00,600.89
39738,2023-11-03,3,0.00,600.89
39738,2024-11-03,4,0.00,600.89
39738,2025-11-03,5,0.00,600.89
15029,2022-12-28,2,0.00,1469.10
15029,2023-12-28,3,0.00,1469.10
15029,2024-12-28,4,0.00,1469.10
15029,2025-12-28,5,0.00,1469.10
11543,2025-11-30,5,0.00,2216.38
47859,2024-03-06,4,0.00,1013.53
47859,2025-03-06,5,0.00,1013.53
47859,2026-03-06,6,0.00,1013.53
44088,2025-03-23,5,0.00,1931.41
44088,2026-03-23,6,0.00,1931.41
55153,2024-06-04,4,0.00,1186.47
55153,2025-06-04,5,0.00,1186.47
55153,2026-06-04,6,14.51,1014.31
10393,2023-07-31,3,0.00,1734.76
10393,2024-07-31,4,0.00,1734.76
10393,2025-07-31,5,0.00,1734.76
55291,2022-06-19,2,0.00,710.81
55291,2023-06-19,3,0.00,710.81
55291,2024-06-19,4,0.00,710.81
55291,2025-06-19,5,0.00,710.81
55291,2026-06-19,6,0.00,710.81
26499,2024-03-19,4,0.00,1186.02
26499,2025-03-19,5,0.00,1186.02
26499,2026-03-19,6,4.41,1133.72
12485,2026-06-03,6,0.00,938.65
18403,2024-07-05,4,0.00,1009.17
18403,2025-07-05,5,0.00,1009.17
33986,2024-11-11,4,0.00,1966.37
33986,2025-11-11,5,0.00,1966.37
37865,2022-10-30,2,0.00,2488.04
37865,2023-10-30,3,0.00,2488.04
37865,2024-10-30,4,0.00,2488.04
37865,2025-10-30,5,0.00,2488.04
25114,2022-06-12,2,0.00,1100.64
25114,2023-06-12,3,0.00,1100.64
25114,2024-06-12,4,0.00,1100.64
25114,2025-06-12,5,0.00,1100.64
25114,2026-06-12,6,0.00,1100.64
28084,2024-12-13,4,0.00,1544.18
28084,2025-12-13,5,12.25,1355.02
38809,2023-06-27,3,0.00,900.39
38809,2024-06-27,4,0.00,900.39
38809,2025-06-27,5,0.00,900.39
38809,2026-06-27,6,0.00,900.39
19305,2023-06-15,3,0.00,1519.28
19305,2024-06-15,4,0.00,1519.28
19305,2025-06-15,5,0.00,1519.28
19305,2026-06-15,6,0.00,1519.28
49166,2024-11-21,4,0.00,737.66
49166,2025-11-21,5,0.00,737.66
48898,2025-07-21,5,0.00,505.28
3849,2023-12-10,3,0.00,2101.82
3849,2024-12-10,4,2.51,2049.07
3849,2025-12-10,5,2.51,2049.07
23790,2023-01-09,3,0.00,2197.43
23790,2024-01-09,4,0.00,2197.43
23790,2025-01-09,5,0.00,2197.43
23790,2026-01-09,6,0.00,2197.43
53294,2022-06-21,2,0.00,1064.80
53294,2023-06-21,3,0.00,1064.80
