InvoiceNumber,PaidDate,DueDate,RunDate,PremiumSubTotal,PaymentMethod,PaymentDate,RemittanceFreq,BillingAccount_BillingAccountID,InvoiceID
INV54606809,,2022-01-01,2022-01-01,1248.45,Check,,Annual,2,1
INV81498892,2022-01-02,2022-01-02,2022-01-02,72.19,Check,2022-01-02,Quarterly,46,2
INV17459634,2022-01-03,2022-01-03,2022-01-03,349.58,Check,2022-01-03,Quarterly,10,3
INV34401479,2022-01-04,2022-01-04,2022-01-04,2507.52,Card,2022-01-04,Annual,34,4
INV87100240,,2022-01-05,2022-01-05,2965.52,Card,,Monthly,123,5
INV93688035,2022-01-06,2022-01-06,2022-01-06,813.86,Check,2022-01-06,Annual,203,6
INV49922982,2022-01-07,2022-01-07,2022-01-07,559.35,Card,2022-01-07,Quarterly,65,7
INV90828166,2022-01-08,2022-01-08,2022-01-08,1865.71,Card,2022-01-08,Annual,36,8
INV86909016,,2022-01-09,2022-01-09,625.17,Check,,Monthly,134,9
INV23755313,2022-01-10,2022-01-10,2022-01-10,296.43,Card,2022-01-10,Annual,290,10
INV96180124,2022-01-11,2022-01-11,2022-01-11,2554.24,Check,2022-01-11,Annual,132,11
INV02688561,2022-01-12,2022-01-12,2022-01-12,580.12,ACH,2022-01-12,Monthly,243,12
INV94185740,,2022-01-13,2022-01-13,679.61,Check,,Quarterly,133,13
INV61949070,2022-01-14,2022-01-14,2022-01-14,793.26,Card,2022-01-14,Quarterly,135,14
INV31328710,2022-01-15,2022-01-15,2022-01-15,2130.09,Check,2022-01-15,Annual,66,15
INV83866865,2022-01-16,2022-01-16,2022-01-16,660.6,Card,2022-01-16,Annual,126,16
INV72706626,,2022-01-17,2022-01-17,81.82,ACH,,Monthly,263,17
INV24674887,2022-01-18,2022-01-18,2022-01-18,2027.62,Check,2022-01-18,Quarterly,278,18
INV97138770,2022-01-19,2022-01-19,2022-01-19,1643.03,ACH,2022-01-19,Annual,100,19
INV11422089,2022-01-20,2022-01-20,2022-01-20,667.72,Check,2022-01-20,Monthly,290,20
INV97354781,,2022-01-21,2022-01-21,2293.25,Check,,Annual,49,21
INV93884079,2022-01-22,2022-01-22,2022-01-22,2879.83,Card,2022-01-22,Monthly,246,22
INV13851995,2022-01-23,2022-01-23,2022-01-23,2694.64,Check,2022-01-23,Quarterly,280,23
INV85342025,2022-01-24,2022-01-24,2022-01-24,935.99,Card,2022-01-24,Monthly,12,24
INV09411346,,2022-01-25,2022-01-25,1384.09,Check,,Annual,48,25
INV01302581,2022-01-26,2022-01-26,2022-01-26,1810.16,ACH,2022-01-26,Annual,106,26
INV85052444,2022-01-27,2022-01-27,2022-01-27,683.09,Check,2022-01-27,Quarterly,299,27
INV34838610,2022-01-28,2022-01-28,2022-01-28,2120.14,ACH,2022-01-28,Monthly,200,28
INV73113617,,2022-01-29,2022-01-29,1388.96,Card,,Quarterly,134,29
INV99433550,2022-01-30,2022-01-30,2022-01-30,940.24,Check,2022-01-30,Monthly,128,30
INV01445982,2022-01-31,2022-01-31,2022-01-31,702.95,Check,2022-01-31,Quarterly,257,31
INV39569268,2022-02-01,2022-02-01,2022-02-01,2588.03,ACH,2022-02-01,Quarterly,214,32
INV14607104,,2022-02-02,2022-02-02,2556.89,Card,,Annual,44,33
INV37931114,2022-02-03,2022-02-03,2022-02-03,1061.84,ACH,2022-02-03,Monthly,86,34
INV95577711,2022-02-04,2022-02-04,2022-02-04,2434.26,ACH,2022-02-04,Annual,102,35
INV37525151,2022-02-05,2022-02-05,2022-02-05,1470.17,ACH,2022-02-05,Quarterly,300,36
INV47941170,,2022-02-06,2022-02-06,675.95,ACH,,Annual,215,37
INV41031921,2022-02-07,2022-02-07,2022-02-07,2689.38,Card,2022-02-07,Annual,154,38
INV64828735,2022-02-08,2022-02-08,2022-02-08,2554.13,ACH,2022-02-08,Annual,249,39
INV51351829,2022-02-09,2022-02-09,2022-02-09,2794.4,ACH,2022-02-09,Annual,170,40
INV87620818,,2022-02-10,2022-02-10,716.82,ACH,,Annual,151,41
INV51491832,2022-02-11,2022-02-11,2022-02-11,336.18,ACH,2022-02-11,Annual,133,42
INV53888764,2022-02-12,2022-02-12,2022-02-12,2957.18,Check,2022-02-12,Monthly,262,43
INV61164596,2022-02-13,2022-02-13,2022-02-13,1467.42,Card,2022-02-13,Monthly,219,44
INV13527177,,2022-02-14,2022-02-14,2878.5,Check,,Annual,191,45
INV75167934,2022-02-15,2022-02-15,2022-02-15,772.02,ACH,2022-02-15,Quarterly,8,46
INV16286076,2022-02-16,2022-02-16,2022-02-16,1622.6,Card,2022-02-16,Annual,67,47
INV45161780,2022-02-17,2022-02-17,2022-02-17,1365.58,ACH,2022-02-17,Annual,192,48
INV80837720,,2022-02-18,2022-02-18,2594.39,Check,,Quarterly,176,49
INV29848497,2022-02-19,2022-02-19,2022-02-19,118.17,Card,2022-02-19,Monthly,237,50
INV67958474,2022-02-20,2022-02-20,2022-02-20,2972.81,Card,2022-02-20,Monthly,173,51
INV99709730,2022-02-21,2022-02-21,2022-02-21,2732.31,Card,2022-02-21,Annual,245,52
INV72781352,,2022-02-22,2022-02-22,1174.83,ACH,,Annual,174,53
INV93643307,2022-02-23,2022-02-23,2022-02-23,614.02,ACH,2022-02-23,Annual,10,54
INV34625866,2022-02-24,2022-02-24,2022-02-24,904.52,ACH,2022-02-24,Annual,290,55
INV75088355,2022-02-25,2022-02-25,2022-02-25,1973.1,Check,2022-02-25,Quarterly,182,56
INV33759410,,2022-02-26,2022-02-26,2973.01,ACH,,Annual,240,57
INV56310006,2022-02-27,2022-02-27,2022-02-27,1676.82,ACH,2022-02-27,Quarterly,296,58
INV91976420,2022-02-28,2022-02-28,2022-02-28,1463.21,Card,2022-02-28,Quarterly,228,59
INV10929476,2022-03-01,2022-03-01,2022-03-01,1057.4,ACH,2022-03-01,Annual,77,60
INV74998371,,2022-03-02,2022-03-02,1828.05,ACH,,Quarterly,172,61
INV39649269,2022-03-03,2022-03-03,2022-03-03,1346.37,Card,2022-03-03,Annual,8,62
INV29498047,2022-03-04,2022-03-04,2022-03-04,2216.86,Check,2022-03-04,Annual,206,63
INV43444068,2022-03-05,2022-03-05,2022-03-05,1360.51,ACH,2022-03-05,Annual,267,64
INV26151597,,2022-03-06,2022-03-06,1662.93,Card,,Quarterly,213,65
INV70666403,2022-03-07,2022-03-07,2022-03-07,1319.11,ACH,2022-03-07,Annual,91,66
INV55751509,2022-03-08,2022-03-08,2022-03-08,1718.3,Check,2022-03-08,Monthly,40,67
INV31862474,2022-03-09,2022-03-09,2022-03-09,293.38,Check,2022-03-09,Monthly,219,68
INV50063983,,2022-03-10,2022-03-10,960.63,Card,,Quarterly,109,69
INV45947400,2022-03-11,2022-03-11,2022-03-11,1296.13,Check,2022-03-11,Quarterly,129,70
INV97299432,2022-03-12,2022-03-12,2022-03-12,786.74,Check,2022-03-12,Monthly,183,71
INV02838475,2022-03-13,2022-03-13,2022-03-13,429.19,Card,2022-03-13,Annual,189,72
INV26651071,,2022-03-14,2022-03-14,843.71,ACH,,Annual,101,73
INV51714935,2022-03-15,2022-03-15,2022-03-15,540.75,Card,2022-03-15,Quarterly,211,74
INV92971049,2022-03-16,2022-03-16,2022-03-16,1407.77,Check,2022-03-16,Quarterly,224,75
INV29734353,2022-03-17,2022-03-17,2022-03-17,2927.49,Check,2022-03-17,Monthly,91,76
INV69419942,,2022-03-18,2022-03-18,2602.58,ACH,,Monthly,56,77
