ContractID,WellnessProgramID,EnrollDate,Status
71,3,2022-01-01,Lapsed
191,5,2022-01-02,Complete
468,5,2022-01-03,Active
308,2,2022-01-04,Active
264,5,2022-01-05,Complete
18,5,2022-01-06,Active
183,4,2022-01-07,Lapsed
212,1,2022-01-08,Active
134,3,2022-01-09,Active
482,4,2022-01-10,Lapsed
12,1,2022-01-11,Active
324,1,2022-01-12,Lapsed
395,2,2022-01-13,Active
344,3,2022-01-14,Active
369,1,2022-01-15,Active
338,3,2022-01-16,Complete
290,5,2022-01-17,Complete
440,5,2022-01-18,Lapsed
415,1,2022-01-19,Active
128,5,2022-01-20,Active
423,4,2022-01-21,Active
183,4,2022-01-22,Lapsed
214,4,2022-01-23,Lapsed
122,1,2022-01-24,Active
461,2,2022-01-25,Lapsed
376,2,2022-01-26,Lapsed
34,5,2022-01-27,Active
23,4,2022-01-28,Lapsed
455,4,2022-01-29,Lapsed
271,2,2022-01-30,Active
321,4,2022-01-31,Lapsed
260,1,2022-02-01,Lapsed
426,5,2022-02-02,Complete
301,2,2022-02-03,Lapsed
33,5,2022-02-04,Lapsed
335,3,2022-02-05,Complete
141,5,2022-02-06,Active
288,4,2022-02-07,Lapsed
485,5,2022-02-08,Active
395,1,2022-02-09,Complete
219,2,2022-02-10,Active
368,1,2022-02-11,Active
448,2,2022-02-12,Complete
322,4,2022-02-13,Lapsed
236,5,2022-02-14,Active
431,2,2022-02-15,Lapsed
288,1,2022-02-16,Complete
41,3,2022-02-17,Lapsed
249,1,2022-02-18,Lapsed
216,2,2022-02-19,Complete
116,3,2022-02-20,Complete
57,5,2022-02-21,Active
462,5,2022-02-22,Active
124,3,2022-02-23,Complete
266,5,2022-02-24,Active
206,5,2022-02-25,Lapsed
373,4,2022-02-26,Lapsed
440,1,2022-02-27,Active
48,3,2022-02-28,Complete
241,2,2022-03-01,Lapsed
224,3,2022-03-02,Complete
286,2,2022-03-03,Complete
322,1,2022-03-04,Lapsed
324,1,2022-03-05,Complete
417,5,2022-03-06,Complete
26,5,2022-03-07,Lapsed
11,2,2022-03-08,Active
285,2,2022-03-09,Complete
48,1,2022-03-10,Lapsed
471,1,2022-03-11,Lapsed
438,2,2022-03-12,Lapsed
198,4,2022-03-13,Active
339,4,2022-03-14,Lapsed
372,3,2022-03-15,Active
195,1,2022-03-16,Lapsed
348,5,2022-03-17,Complete
356,3,2022-03-18,Complete
475,3,2022-03-19,Complete
439,5,2022-03-20,Active
106,1,2022-03-21,Complete
379,5,2022-03-22,Active
131,5,2022-03-23,Lapsed
274,5,2022-03-24,Active
333,1,2022-03-25,Lapsed
190,1,2022-03-26,Lapsed
322,5,2022-03-27,Complete
83,1,2022-03-28,Active
185,1,2022-03-29,Active
343,1,2022-03-30,Lapsed
361,2,2022-03-31,Complete
77,4,2022-04-01,Complete
218,1,2022-04-02,Active
393,4,2022-04-03,Complete
24,4,2022-04-04,Lapsed
190,2,2022-04-05,Complete
356,5,2022-04-06,Complete
416,4,2022-04-07,Lapsed
310,5,2022-04-08,Active
355,5,2022-04-09,Complete
225,3,2022-04-10,Lapsed
286,2,2022-04-11,Lapsed
388,4,2022-04-12,Lapsed
191,1,2022-04-13,Active
472,2,2022-04-14,Complete
430,1,2022-04-15,Active
284,4,2022-04-16,Complete
92,1,2022-04-17,Lapsed
103,1,2022-04-18,Complete
45,1,2022-04-19,Lapsed
186,5,2022-04-20,Complete
22,4,2022-04-21,Active
128,2,2022-04-22,Lapsed
408,4,2022-04-23,Lapsed
473,4,2022-04-24,Lapsed
425,1,2022-04-25,Complete
455,3,2022-04-26,Complete
265,2,2022-04-27,Active
108,1,2022-04-28,Lapsed
57,5,2022-04-29,Active
153,2,2022-04-30,Active
60,3,2022-05-01,Active
70,1,2022-05-02,Complete
458,3,2022-05-03,Active
327,1,2022-05-04,Complete
392,5,2022-05-05,Active
320,3,2022-05-06,Active
386,3,2022-05-07,Complete
222,2,2022-05-08,Complete
315,2,2022-05-09,Complete
225,5,2022-05-10,Active
425,5,2022-05-11,Lapsed
94,2,2022-05-12,Active
222,4,2022-05-13,Active
387,4,2022-05-14,Lapsed
103,2,2022-05-15,Complete
48,5,2022-05-16,Active
203,3,2022-05-17,Active
208,1,2022-05-18,Complete
4,4,2022-05-19,Active
190,1,2022-05-20,Lapsed
