query_id,table_name,logical_reads,scan_count,main_operator,estimated_rows,actual_rows
Q1,Contract,3,0,,,
Q1,ContractParty,996,1,Clustered Index Scan,2.0000,2
Q2,Account,6,0,,,
Q2,AccountMember,1025,1,,,
Q2,BillingAccount,6,0,,,
Q2,Contract,3,0,,,
Q2,ContractParty,996,1,Clustered Index Scan,42.0028,42
Q2,Customer,6,0,,,
Q2,Invoice,2603,1,,,
Q2,Relation_3,4,2,,,
Q2b,Invoice,2603,1,Clustered Index Scan,20.1258,20
Q3,RATE_VERSION,2,1,Clustered Index Scan,1.0000,1
Q4,WELLNESS_ACTIVITY,4562,11,Clustered Index Scan,637.4710,789
Q5,WELLNESS_ACTIVITY,4562,11,Clustered Index Scan,273156.9000,232632
Q6,Contract,1424,1,Clustered Index Scan,12492.9000,12448
Q7,POLICY_RENEWAL,728,1,Clustered Index Scan,7523.8000,7548
Q8,Contract,2848,2,Clustered Index Scan,55149.0300,55189
Q9,STG_BRFSS_RECORD,1240,2,Clustered Index Scan,99394.7000,91818
