schema_name,table_name,row_count,data_kb,index_kb,total_kb
dbo,Account,40000,7112,4232,11376
dbo,AccountAlias,0,0,0,0
dbo,AccountMember,50000,8168,0,8200
dbo,Administrator,0,0,0,0
dbo,Associate,0,0,0,0
dbo,BillingAccount,40000,6152,3864,10056
dbo,Claim,5000,216,152,384
dbo,Contest,0,0,0,0
dbo,Contract,60000,11352,4208,15600
dbo,ContractBenefit,0,0,0,0
dbo,ContractParty,90000,7920,1744,9712
dbo,ContractPremium,0,0,0,0
dbo,Customer,50000,6160,2280,8480
dbo,DATA_REFRESH_RUN,0,0,0,0
dbo,Invoice,300000,20768,13120,33944
dbo,ManagerContract,0,0,0,0
dbo,OrgUnit,0,0,0,0
dbo,POLICY_RENEWAL,90000,5792,1560,7384
dbo,Product,15,8,16,32
dbo,RATE,0,0,0,0
dbo,RATE_VERSION,6,8,0,16
dbo,Relation_24,0,0,0,0
dbo,Relation_26,0,0,0,0
dbo,Relation_27,0,0,0,0
dbo,Relation_28,0,0,0,0
dbo,Relation_29,0,0,0,0
dbo,Relation_3,40000,680,0,696
dbo,Relation_30,0,0,0,0
dbo,Relation_31,0,0,0,0
dbo,Relation_32,0,0,0,0
dbo,Relation_39,0,0,0,0
dbo,Relation_5,0,0,0,0
dbo,RISK_FACTOR,0,0,0,0
dbo,RISK_IMPROVEMENT,48000,2312,0,2328
dbo,STG_BRFSS,1480,152,0,168
dbo,STG_BRFSS_RECORD,50000,4944,0,4960
dbo,STG_MORTALITY,109,16,0,32
dbo,STG_NHANES,8153,760,0,776
dbo,WELLNESS_ACTIVITY,1000000,35856,22432,58432
dbo,WELLNESS_ENROLLMENT,24000,1152,0,1168
dbo,WELLNESS_PROGRAM,5,8,0,16
dbo,WritingNumber,0,0,0,0
