fk_name,table_name,column_name
AccountAlias_Account_FK,AccountAlias,Account_AccountID
AccountMember_Account_FK,AccountMember,Account_AccountID
AccountMember_Customer_FK,AccountMember,Customer_CustomerID
Associate_Associate_FK,Associate,Associate_AssociateID
Claim_Contract_FK,Claim,Contract_ContractID
Contract_Product_FK,Contract,Product_ProductID
ContractBenefit_Contract_FK,ContractBenefit,Contract_ContractID
ContractParty_Contract_FK,ContractParty,Contract_ContractID
ContractParty_ContractBenefit_FK,ContractParty,ContractBenefit_ContractBenefitID
ContractPremium_ContractBenefit_FK,ContractPremium,ContractBenefit_ContractBenefitID
DRR_RATEVERSION_FK,DATA_REFRESH_RUN,NewRateVersionID
ManagerContract_ManagerContract_FK,ManagerContract,ManagerContract_ManagerContractID
ManagerContract_WritingNumber_FK,ManagerContract,WritingNumber_WritingNumberID
OrgUnit_OrgUnit_FK,OrgUnit,OrgUnit_OrgUnitID
PRENEW_CONTRACT_FK,POLICY_RENEWAL,ContractID
PRENEW_RATEVERSION_FK,POLICY_RENEWAL,NewRateVersionID
RATE_PRODUCT_FK,RATE,ProductID
RATE_RISKFACTOR_FK,RATE,RiskFactorID
RATE_VERSION_FK,RATE,RateVersionID
RATE_VERSION_RUN_FK,RATE_VERSION,CreatedByRunID
Relation_24_Customer_FK,Relation_24,Customer_CustomerID
Relation_26_ContractBenefit_FK,Relation_26,ContractBenefit_ContractBenefitID
Relation_27_ManagerContract_FK,Relation_27,ManagerContract_ManagerContractID
Relation_28_ManagerContract_FK,Relation_28,ManagerContract_ManagerContractID
Relation_29_OrgUnit_FK,Relation_29,OrgUnit_OrgUnitID
Relation_3_BillingAccount_FK,Relation_3,BillingAccount_BillingAccountID
Relation_30_OrgUnit_FK,Relation_30,OrgUnit_OrgUnitID
Relation_31_Contest_FK,Relation_31,Contest_ContestID
Relation_32_Associate_FK,Relation_32,Associate_AssociateID
Relation_39_Account_FKv1,Relation_39,Account_AccountID1
Relation_5_Administrator_FK,Relation_5,Administrator_AdminID
RISK_FACTOR_RUN_FK,RISK_FACTOR,DerivedFromRunID
RIMP_ENROLL_FK,RISK_IMPROVEMENT,EnrollmentID
WENROLL_CONTRACT_FK,WELLNESS_ENROLLMENT,ContractID
WENROLL_PROGRAM_FK,WELLNESS_ENROLLMENT,WellnessProgramID
WritingNumber_Associate_FK,WritingNumber,Associate_AssociateID
