feature,coefficient,std_error,z_value,p_value,significant_0_05,odds_ratio,coefficient_ci_lower_95,coefficient_ci_upper_95,odds_ratio_ci_lower_95,odds_ratio_ci_upper_95,fit_scope
Intercept,-5.36770332,0.10747738,-49.94263367,0.00000000,True,0.00466483,-5.57835898,-5.15704765,0.00377876,0.00575868,"primary labelled records, refit after held-out evaluation"
age_band_01,-1.48332412,0.18885797,-7.85417818,0.00000000,True,0.22688225,-1.85348573,-1.11316251,0.15669003,0.32851838,"primary labelled records, refit after held-out evaluation"
age_band_02,-1.27165653,0.17896048,-7.10579533,0.00000000,True,0.28036680,-1.62241906,-0.92089399,0.19742055,0.39816293,"primary labelled records, refit after held-out evaluation"
age_band_03,-0.82244110,0.14318681,-5.74383294,0.00000001,True,0.43935783,-1.10308724,-0.54179496,0.33184502,0.58170318,"primary labelled records, refit after held-out evaluation"
age_band_04,-0.53427123,0.12556809,-4.25483290,0.00002092,True,0.58609626,-0.78038468,-0.28815778,0.45822970,0.74964331,"primary labelled records, refit after held-out evaluation"
age_band_06,0.51642541,0.09856028,5.23969081,0.00000016,True,1.67602583,0.32324726,0.70960357,1.38160692,2.03318508,"primary labelled records, refit after held-out evaluation"
age_band_07,0.91685243,0.09198469,9.96744622,0.00000000,True,2.50140464,0.73656244,1.09714242,2.08874298,2.99559363,"primary labelled records, refit after held-out evaluation"
age_band_08,1.12119756,0.08907675,12.58687123,0.00000000,True,3.06852676,0.94660714,1.29578799,2.57695156,3.65387405,"primary labelled records, refit after held-out evaluation"
age_band_09,1.36975264,0.08592675,15.94093464,0.00000000,True,3.93437735,1.20133621,1.53816906,3.32455628,4.65605749,"primary labelled records, refit after held-out evaluation"
age_band_10,1.42398035,0.08498686,16.75530007,0.00000000,True,4.15362045,1.25740611,1.59055460,3.51628877,4.90646930,"primary labelled records, refit after held-out evaluation"
age_band_11,1.52444180,0.08555347,17.81858511,0.00000000,True,4.59257926,1.35675699,1.69212660,3.88357839,5.43101802,"primary labelled records, refit after held-out evaluation"
age_band_12,1.65196203,0.08705663,18.97571769,0.00000000,True,5.21720609,1.48133103,1.82259302,4.39879673,6.18788298,"primary labelled records, refit after held-out evaluation"
age_band_13,1.50252730,0.08784729,17.10385452,0.00000000,True,4.49302998,1.33034661,1.67470799,3.78235416,5.33723642,"primary labelled records, refit after held-out evaluation"
sex_male,0.26230850,0.02956939,8.87094738,0.00000000,True,1.29992751,0.20435250,0.32026451,1.22673050,1.37749207,"primary labelled records, refit after held-out evaluation"
smoking_current,0.09986659,0.04810258,2.07611722,0.03788311,True,1.10502349,0.00558554,0.19414764,1.00560117,1.21427555,"primary labelled records, refit after held-out evaluation"
smoking_former,0.11814272,0.03225267,3.66303728,0.00024924,True,1.12540472,0.05492750,0.18135795,1.05646401,1.19884423,"primary labelled records, refit after held-out evaluation"
exercise_no,0.59066990,0.03217540,18.35781227,0.00000000,True,1.80519732,0.52760613,0.65373368,1.69487014,1.92270622,"primary labelled records, refit after held-out evaluation"
bmi,0.07812667,0.00220709,35.39803605,0.00000000,True,1.08125961,0.07380077,0.08245256,1.07659229,1.08594716,"primary labelled records, refit after held-out evaluation"
