feature,coefficient_primary,coefficient_sensitivity,coefficient_change,sign_changed
Intercept,-5.29501399,-5.05427228,0.24074171,False
age_band_01,-1.46027621,-1.16708182,0.29319439,False
age_band_02,-1.22459074,-1.06521968,0.15937106,False
age_band_03,-0.73397956,-0.64017815,0.09380141,False
age_band_04,-0.60743458,-0.45883951,0.14859507,False
age_band_06,0.51565202,0.50136547,-0.01428655,False
age_band_07,0.86171942,0.79145549,-0.07026393,False
age_band_08,1.09833200,1.04831950,-0.05001249,False
age_band_09,1.34101482,1.27614376,-0.06487106,False
age_band_10,1.36241239,1.31956382,-0.04284858,False
age_band_11,1.50867722,1.40543413,-0.10324309,False
age_band_12,1.61813297,1.55538566,-0.06274731,False
age_band_13,1.46351612,1.37820706,-0.08530906,False
sex_male,0.26441442,0.20110669,-0.06330773,False
smoking_current,0.09848618,0.10520972,0.00672354,False
smoking_former,0.12591433,0.09986757,-0.02604676,False
exercise_no,0.58245293,0.52269106,-0.05976187,False
bmi,0.07667828,0.07789662,0.00121834,False
