StgMortalityID,SourceYear,AgeBand,Gender,ConditionFlag,MortalityRate,LifeExpectancy,LoadDate,SourceFile
1,2023,18-24,M,BASELINE,0.001287,55.77,2026-07-27,ssa_period_life_table_2023.csv
2,2023,25-29,M,BASELINE,0.001781,50.24,2026-07-27,ssa_period_life_table_2023.csv
3,2023,30-34,M,BASELINE,0.002298,45.71,2026-07-27,ssa_period_life_table_2023.csv
4,2023,35-39,M,BASELINE,0.002771,41.25,2026-07-27,ssa_period_life_table_2023.csv
5,2023,40-44,M,BASELINE,0.003432,36.84,2026-07-27,ssa_period_life_table_2023.csv
6,2023,45-49,M,BASELINE,0.004302,32.49,2026-07-27,ssa_period_life_table_2023.csv
7,2023,50-54,M,BASELINE,0.005968,28.23,2026-07-27,ssa_period_life_table_2023.csv
8,2023,55-59,M,BASELINE,0.008949,24.15,2026-07-27,ssa_period_life_table_2023.csv
9,2023,60-64,M,BASELINE,0.013236,20.32,2026-07-27,ssa_period_life_table_2023.csv
10,2023,65-69,M,BASELINE,0.018777,16.75,2026-07-27,ssa_period_life_table_2023.csv
11,2023,70-74,M,BASELINE,0.026642,13.38,2026-07-27,ssa_period_life_table_2023.csv
12,2023,75-79,M,BASELINE,0.041223,10.26,2026-07-27,ssa_period_life_table_2023.csv
13,2023,80-99,M,BASELINE,0.109587,6.06,2026-07-27,ssa_period_life_table_2023.csv
14,2023,18-24,F,BASELINE,0.000477,60.77,2026-07-27,ssa_period_life_table_2023.csv
15,2023,25-29,F,BASELINE,0.000696,54.97,2026-07-27,ssa_period_life_table_2023.csv
16,2023,30-34,F,BASELINE,0.001017,50.18,2026-07-27,ssa_period_life_table_2023.csv
17,2023,35-39,F,BASELINE,0.001358,45.46,2026-07-27,ssa_period_life_table_2023.csv
18,2023,40-44,F,BASELINE,0.001851,40.79,2026-07-27,ssa_period_life_table_2023.csv
19,2023,45-49,F,BASELINE,0.002463,36.19,2026-07-27,ssa_period_life_table_2023.csv
20,2023,50-54,F,BASELINE,0.003576,31.67,2026-07-27,ssa_period_life_table_2023.csv
21,2023,55-59,F,BASELINE,0.005389,27.29,2026-07-27,ssa_period_life_table_2023.csv
22,2023,60-64,F,BASELINE,0.008208,23.10,2026-07-27,ssa_period_life_table_2023.csv
23,2023,65-69,F,BASELINE,0.011751,19.11,2026-07-27,ssa_period_life_table_2023.csv
24,2023,70-74,F,BASELINE,0.017873,15.30,2026-07-27,ssa_period_life_table_2023.csv
25,2023,75-79,F,BASELINE,0.029835,11.79,2026-07-27,ssa_period_life_table_2023.csv
26,2023,80-99,F,BASELINE,0.093825,6.77,2026-07-27,ssa_period_life_table_2023.csv
27,2024,1,F,ALLCAUSE,0.005039,,2026-07-27,wonder_all_by_age_sex.tsv
28,2024,1,M,ALLCAUSE,0.005964,,2026-07-27,wonder_all_by_age_sex.tsv
29,2024,1-4,F,ALLCAUSE,0.000222,,2026-07-27,wonder_all_by_age_sex.tsv
30,2024,1-4,M,ALLCAUSE,0.000279,,2026-07-27,wonder_all_by_age_sex.tsv
31,2024,5-14,F,ALLCAUSE,0.000122,,2026-07-27,wonder_all_by_age_sex.tsv
32,2024,5-14,M,ALLCAUSE,0.000161,,2026-07-27,wonder_all_by_age_sex.tsv
33,2024,15-24,F,ALLCAUSE,0.000420,,2026-07-27,wonder_all_by_age_sex.tsv
34,2024,15-24,M,ALLCAUSE,0.001095,,2026-07-27,wonder_all_by_age_sex.tsv
35,2024,25-34,F,ALLCAUSE,0.000890,,2026-07-27,wonder_all_by_age_sex.tsv
36,2024,25-34,M,ALLCAUSE,0.002045,,2026-07-27,wonder_all_by_age_sex.tsv
37,2024,35-44,F,ALLCAUSE,0.001628,,2026-07-27,wonder_all_by_age_sex.tsv
38,2024,35-44,M,ALLCAUSE,0.003047,,2026-07-27,wonder_all_by_age_sex.tsv
39,2024,45-54,F,ALLCAUSE,0.003249,,2026-07-27,wonder_all_by_age_sex.tsv
40,2024,45-54,M,ALLCAUSE,0.005460,,2026-07-27,wonder_all_by_age_sex.tsv
41,2024,55-64,F,ALLCAUSE,0.007251,,2026-07-27,wonder_all_by_age_sex.tsv
42,2024,55-64,M,ALLCAUSE,0.011960,,2026-07-27,wonder_all_by_age_sex.tsv
43,2024,65-74,F,ALLCAUSE,0.015191,,2026-07-27,wonder_all_by_age_sex.tsv
44,2024,65-74,M,ALLCAUSE,0.023423,,2026-07-27,wonder_all_by_age_sex.tsv
45,2024,75-84,F,ALLCAUSE,0.039538,,2026-07-27,wonder_all_by_age_sex.tsv
46,2024,75-84,M,ALLCAUSE,0.053753,,2026-07-27,wonder_all_by_age_sex.tsv
47,2024,85+,F,ALLCAUSE,0.136196,,2026-07-27,wonder_all_by_age_sex.tsv
48,2024,85+,M,ALLCAUSE,0.154691,,2026-07-27,wonder_all_by_age_sex.tsv
49,2024,1-4,F,DIABETES,0.000000,,2026-07-27,wonder_diabetes_by_age_sex.tsv
50,2024,1-4,M,DIABETES,0.000000,,2026-07-27,wonder_diabetes_by_age_sex.tsv
51,2024,5-14,F,DIABETES,0.000001,,2026-07-27,wonder_diabetes_by_age_sex.tsv
52,2024,5-14,M,DIABETES,0.000001,,2026-07-27,wonder_diabetes_by_age_sex.tsv
53,2024,15-24,F,DIABETES,0.000005,,2026-07-27,wonder_diabetes_by_age_sex.tsv
54,2024,15-24,M,DIABETES,0.000008,,2026-07-27,wonder_diabetes_by_age_sex.tsv
55,2024,25-34,F,DIABETES,0.000018,,2026-07-27,wonder_diabetes_by_age_sex.tsv
56,2024,25-34,M,DIABETES,0.000028,,2026-07-27,wonder_diabetes_by_age_sex.tsv
57,2024,35-44,F,DIABETES,0.000045,,2026-07-27,wonder_diabetes_by_age_sex.tsv
58,2024,35-44,M,DIABETES,0.000077,,2026-07-27,wonder_diabetes_by_age_sex.tsv
59,2024,45-54,F,DIABETES,0.000120,,2026-07-27,wonder_diabetes_by_age_sex.tsv
60,2024,45-54,M,DIABETES,0.000220,,2026-07-27,wonder_diabetes_by_age_sex.tsv
61,2024,55-64,F,DIABETES,0.000280,,2026-07-27,wonder_diabetes_by_age_sex.tsv
62,2024,55-64,M,DIABETES,0.000511,,2026-07-27,wonder_diabetes_by_age_sex.tsv
63,2024,65-74,F,DIABETES,0.000580,,2026-07-27,wonder_diabetes_by_age_sex.tsv
64,2024,65-74,M,DIABETES,0.000973,,2026-07-27,wonder_diabetes_by_age_sex.tsv
65,2024,75-84,F,DIABETES,0.001169,,2026-07-27,wonder_diabetes_by_age_sex.tsv
66,2024,75-84,M,DIABETES,0.001804,,2026-07-27,wonder_diabetes_by_age_sex.tsv
67,2024,85+,F,DIABETES,0.002438,,2026-07-27,wonder_diabetes_by_age_sex.tsv
68,2024,85+,M,DIABETES,0.003454,,2026-07-27,wonder_diabetes_by_age_sex.tsv
69,2023,1,F,ALLCAUSE,0.005113,,2026-07-27,wonder_all_by_age_sex_2022_2024.tsv
70,2023,1,M,ALLCAUSE,0.005967,,2026-07-27,wonder_all_by_age_sex_2022_2024.tsv
71,2023,1-4,F,ALLCAUSE,0.000237,,2026-07-27,wonder_all_by_age_sex_2022_2024.tsv
72,2023,1-4,M,ALLCAUSE,0.000301,,2026-07-27,wonder_all_by_age_sex_2022_2024.tsv
73,2023,5-14,F,ALLCAUSE,0.000128,,2026-07-27,wonder_all_by_age_sex_2022_2024.tsv
74,2023,5-14,M,ALLCAUSE,0.000167,,2026-07-27,wonder_all_by_age_sex_2022_2024.tsv
75,2023,15-24,F,ALLCAUSE,0.000410,,2026-07-27,wonder_all_by_age_sex_2022_2024.tsv
76,2023,15-24,M,ALLCAUSE,0.001062,,2026-07-27,wonder_all_by_age_sex_2022_2024.tsv
77,2023,25-34,F,ALLCAUSE,0.000866,,2026-07-27,wonder_all_by_age_sex_2022_2024.tsv
78,2023,25-34,M,ALLCAUSE,0.002021,,2026-07-27,wonder_all_by_age_sex_2022_2024.tsv
79,2023,35-44,F,ALLCAUSE,0.001616,,2026-07-27,wonder_all_by_age_sex_2022_2024.tsv
80,2023,35-44,M,ALLCAUSE,0.003075,,2026-07-27,wonder_all_by_age_sex_2022_2024.tsv
81,2023,45-54,F,ALLCAUSE,0.003110,,2026-07-27,wonder_all_by_age_sex_2022_2024.tsv
82,2023,45-54,M,ALLCAUSE,0.005237,,2026-07-27,wonder_all_by_age_sex_2022_2024.tsv
83,2023,55-64,F,ALLCAUSE,0.007045,,2026-07-27,wonder_all_by_age_sex_2022_2024.tsv
84,2023,55-64,M,ALLCAUSE,0.011386,,2026-07-27,wonder_all_by_age_sex_2022_2024.tsv
85,2023,65-74,F,ALLCAUSE,0.014862,,2026-07-27,wonder_all_by_age_sex_2022_2024.tsv
86,2023,65-74,M,ALLCAUSE,0.022630,,2026-07-27,wonder_all_by_age_sex_2022_2024.tsv
87,2023,75-84,F,ALLCAUSE,0.038490,,2026-07-27,wonder_all_by_age_sex_2022_2024.tsv
88,2023,75-84,M,ALLCAUSE,0.051639,,2026-07-27,wonder_all_by_age_sex_2022_2024.tsv
89,2023,85+,F,ALLCAUSE,0.134781,,2026-07-27,wonder_all_by_age_sex_2022_2024.tsv
90,2023,85+,M,ALLCAUSE,0.153696,,2026-07-27,wonder_all_by_age_sex_2022_2024.tsv
91,2023,1-4,M,DIABETES,0.000001,,2026-07-27,wonder_diabetes_by_age_sex_2022_2024.tsv
92,2023,5-14,F,DIABETES,0.000001,,2026-07-27,wonder_diabetes_by_age_sex_2022_2024.tsv
93,2023,5-14,M,DIABETES,0.000001,,2026-07-27,wonder_diabetes_by_age_sex_2022_2024.tsv
94,2023,15-24,F,DIABETES,0.000005,,2026-07-27,wonder_diabetes_by_age_sex_2022_2024.tsv
95,2023,15-24,M,DIABETES,0.000007,,2026-07-27,wonder_diabetes_by_age_sex_2022_2024.tsv
96,2023,25-34,F,DIABETES,0.000019,,2026-07-27,wonder_diabetes_by_age_sex_2022_2024.tsv
97,2023,25-34,M,DIABETES,0.000030,,2026-07-27,wonder_diabetes_by_age_sex_2022_2024.tsv
98,2023,35-44,F,DIABETES,0.000045,,2026-07-27,wonder_diabetes_by_age_sex_2022_2024.tsv
99,2023,35-44,M,DIABETES,0.000076,,2026-07-27,wonder_diabetes_by_age_sex_2022_2024.tsv
100,2023,45-54,F,DIABETES,0.000119,,2026-07-27,wonder_diabetes_by_age_sex_2022_2024.tsv
101,2023,45-54,M,DIABETES,0.000219,,2026-07-27,wonder_diabetes_by_age_sex_2022_2024.tsv
102,2023,55-64,F,DIABETES,0.000276,,2026-07-27,wonder_diabetes_by_age_sex_2022_2024.tsv
103,2023,55-64,M,DIABETES,0.000508,,2026-07-27,wonder_diabetes_by_age_sex_2022_2024.tsv
104,2023,65-74,F,DIABETES,0.000564,,2026-07-27,wonder_diabetes_by_age_sex_2022_2024.tsv
105,2023,65-74,M,DIABETES,0.000945,,2026-07-27,wonder_diabetes_by_age_sex_2022_2024.tsv
