AgeBand,Gender,SmokingStatus,BMIBand,ExerciseFreq,PredictedProbability
18-24,F,current,normal,no,0.01233244
18-24,F,current,normal,yes,0.00686619
18-24,F,current,obese,no,0.03373968
18-24,F,current,obese,yes,0.01896709
18-24,F,current,over,no,0.01789097
18-24,F,current,over,yes,0.00998587
18-24,F,current,under,no,0.00814272
18-24,F,current,under,yes,0.00452502
18-24,F,former,normal,no,0.01238440
18-24,F,former,normal,yes,0.00689529
18-24,F,former,obese,no,0.03387876
18-24,F,former,obese,yes,0.01904647
18-24,F,former,over,no,0.01796593
18-24,F,former,over,yes,0.01002805
18-24,F,former,under,no,0.00817717
18-24,F,former,under,yes,0.00454424
18-24,F,never,normal,no,0.01104607
18-24,F,never,normal,yes,0.00614645
18-24,F,never,obese,no,0.03028886
18-24,F,never,obese,yes,0.01700059
18-24,F,never,over,no,0.01603422
18-24,F,never,over,yes,0.00894205
18-24,F,never,under,no,0.00729014
18-24,F,never,under,yes,0.00404969
18-24,M,current,normal,no,0.01566560
18-24,M,current,normal,yes,0.00873503
18-24,M,current,obese,no,0.04260912
18-24,M,current,obese,yes,0.02404978
18-24,M,current,over,no,0.02269196
18-24,M,current,over,yes,0.01269296
18-24,M,current,under,no,0.01035537
18-24,M,current,under,yes,0.00576034
18-24,M,former,normal,no,0.01573139
18-24,M,former,normal,yes,0.00877198
18-24,M,former,obese,no,0.04278315
18-24,M,former,obese,yes,0.02414992
18-24,M,former,over,no,0.02278657
18-24,M,former,over,yes,0.01274643
18-24,M,former,under,no,0.01039910
18-24,M,former,under,yes,0.00578477
18-24,M,never,normal,no,0.01403651
18-24,M,never,normal,yes,0.00782093
18-24,M,never,obese,no,0.03828710
18-24,M,never,obese,yes,0.02156790
18-24,M,never,over,no,0.02034728
18-24,M,never,over,yes,0.01136943
18-24,M,never,under,no,0.00927330
18-24,M,never,under,yes,0.00515591
25-29,F,current,normal,no,0.01498205
25-29,F,current,normal,yes,0.00835132
25-29,F,current,obese,no,0.04079863
25-29,F,current,obese,yes,0.02300894
25-29,F,current,over,no,0.02170857
25-29,F,current,over,yes,0.01213751
25-29,F,current,under,no,0.00990119
25-29,F,current,under,yes,0.00550657
25-29,F,former,normal,no,0.01504501
25-29,F,former,normal,yes,0.00838665
25-29,F,former,obese,no,0.04096557
25-29,F,former,obese,yes,0.02310484
25-29,F,former,over,no,0.02179918
25-29,F,former,over,yes,0.01218867
25-29,F,former,under,no,0.00994302
25-29,F,former,under,yes,0.00552994
25-29,F,never,normal,no,0.01342306
25-29,F,never,normal,yes,0.00747707
25-29,F,never,obese,no,0.03665322
25-29,F,never,obese,yes,0.02063220
25-29,F,never,over,no,0.01946348
25-29,F,never,over,yes,0.01087126
25-29,F,never,under,no,0.00886615
25-29,F,never,under,yes,0.00492864
25-29,M,current,normal,no,0.01901755
25-29,M,current,normal,yes,0.01062005
25-29,M,current,obese,no,0.05142495
25-29,M,current,obese,yes,0.02914257
25-29,M,current,over,no,0.02750532
25-29,M,current,over,yes,0.01541882
25-29,M,current,under,no,0.01258563
25-29,M,current,under,yes,0.00700796
25-29,M,former,normal,no,0.01909715
25-29,M,former,normal,yes,0.01066488
25-29,M,former,obese,no,0.05163304
25-29,M,former,obese,yes,0.02926328
25-29,M,former,over,no,0.02761944
25-29,M,former,over,yes,0.01548359
25-29,M,former,under,no,0.01263865
25-29,M,former,under,yes,0.00703765
25-29,M,never,normal,no,0.01704592
25-29,M,never,normal,yes,0.00951058
25-29,M,never,obese,no,0.04625190
25-29,M,never,obese,yes,0.02614921
25-29,M,never,over,no,0.02467585
25-29,M,never,over,yes,0.01381503
25-29,M,never,under,no,0.01127315
25-29,M,never,under,yes,0.00627345
30-34,F,current,normal,no,0.02363003
30-34,F,current,normal,yes,0.01322328
30-34,F,current,obese,no,0.06338955
30-34,F,current,obese,yes,0.03612033
30-34,F,current,over,no,0.03410483
30-34,F,current,over,yes,0.01917553
30-34,F,current,under,no,0.01566303
30-34,F,current,under,yes,0.00873359
30-34,F,former,normal,no,0.02372846
30-34,F,former,normal,yes,0.01327895
30-34,F,former,obese,no,0.06364281
30-34,F,former,obese,yes,0.03626886
30-34,F,former,over,no,0.03424537
30-34,F,former,over,yes,0.01925578
30-34,F,former,under,no,0.01572881
30-34,F,former,under,yes,0.00877052
30-34,F,never,normal,no,0.02119053
30-34,F,never,normal,yes,0.01184510
30-34,F,never,obese,no,0.05708536
30-34,F,never,obese,yes,0.03243420
30-34,F,never,over,no,0.03061785
30-34,F,never,over,yes,0.01718781
30-34,F,never,under,no,0.01403419
30-34,F,never,under,yes,0.00781964
30-34,M,current,normal,no,0.02992417
30-34,M,current,normal,yes,0.01679312
30-34,M,current,obese,no,0.07941273
30-34,M,current,obese,yes,0.04558607
30-34,M,current,over,no,0.04306598
30-34,M,current,over,yes,0.02431271
30-34,M,current,under,no,0.01987826
30-34,M,current,under,yes,0.01110501
30-34,M,former,normal,no,0.03004801
30-34,M,former,normal,yes,0.01686357
30-34,M,former,obese,no,0.07972455
30-34,M,former,obese,yes,0.04577167
30-34,M,former,over,no,0.04324179
30-34,M,former,over,yes,0.02441391
30-34,M,former,under,no,0.01996138
30-34,M,former,under,yes,0.01115186
30-34,M,never,normal,no,0.02685274
30-34,M,never,normal,yes,0.01504857
30-34,M,never,obese,no,0.07163689
30-34,M,never,obese,yes,0.04097501
30-34,M,never,over,no,0.03869949
30-34,M,never,over,yes,0.02180430
30-34,M,never,under,no,0.01781901
30-34,M,never,under,yes,0.00994538
35-39,F,current,normal,no,0.03173182
35-39,F,current,normal,yes,0.01782213
35-39,F,current,obese,no,0.08395117
35-39,F,current,obese,yes,0.04829273
35-39,F,current,over,no,0.04563017
35-39,F,current,over,yes,0.02579040
35-39,F,current,under,no,0.02109226
35-39,F,current,under,yes,0.01178965
35-39,F,former,normal,no,0.03186290
35-39,F,former,normal,yes,0.01789682
35-39,F,former,obese,no,0.08427918
35-39,F,former,obese,yes,0.04848879
35-39,F,former,over,no,0.04581594
35-39,F,former,over,yes,0.02589759
35-39,F,former,under,no,0.02118035
35-39,F,former,under,yes,0.01183936
35-39,F,never,normal,no,0.02848030
35-39,F,never,normal,yes,0.01597241
35-39,F,never,obese,no,0.07576751
35-39,F,never,obese,yes,0.04342034
35-39,F,never,over,no,0.04101483
35-39,F,never,over,yes,0.02313314
35-39,F,never,under,no,0.01890967
35-39,F,never,under,yes,0.01055930
35-39,M,current,normal,no,0.04009534
35-39,M,current,normal,yes,0.02260508
35-39,M,current,obese,no,0.10459136
35-39,M,current,obese,yes,0.06074733
35-39,M,current,over,no,0.05743955
35-39,M,current,over,yes,0.03264073
35-39,M,current,under,no,0.02672893
35-39,M,current,under,yes,0.01497834
35-39,M,former,normal,no,0.04025953
35-39,M,former,normal,yes,0.02269934
35-39,M,former,obese,no,0.10499078
35-39,M,former,obese,yes,0.06099072
