age_band,Gender,predicted_probability,AgeBand,MortalityRate
1,F,0.011444348137842078,18-24,0.000477
2,F,0.017067339785995672,25-29,0.000696
3,F,0.028175610164210732,30-34,0.001017
4,F,0.040037874532016994,35-39,0.001358
5,F,0.06503696019128243,40-44,0.001851
6,F,0.08611562060945747,45-49,0.002463
7,F,0.14743488504954044,50-54,0.003576
8,F,0.1691592392890833,55-59,0.005389
9,F,0.19847619836871663,60-64,0.008208
10,F,0.201324360907544,65-69,0.011751
11,F,0.21306450599001217,70-74,0.017873
12,F,0.22816974309695304,75-79,0.029835
13,F,0.18497159877051494,80-99,0.093825
1,M,0.013092439340133762,18-24,0.001287
2,M,0.01912905623272595,25-29,0.001781
3,M,0.03226088974628154,30-34,0.002298
4,M,0.04434868884736933,35-39,0.002771
5,M,0.07288040739477056,40-44,0.003432
6,M,0.0986754372588172,45-49,0.004302
7,M,0.1655851188868644,50-54,0.005968
8,M,0.19862472924094426,55-59,0.008949
9,M,0.2291464929155196,60-64,0.013236
10,M,0.23272686311655627,65-69,0.018777
11,M,0.24335539644348564,70-74,0.026642
12,M,0.2649958254047044,75-79,0.041223
13,M,0.22826476381802172,80-99,0.109587
